TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ch.lambdaj.collection.AbstractLambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8039164498723322,268,206
ch.lambdaj.collection.LambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8939940415900764,253,208
ch.lambdaj.collection.LambdaCollections,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9288194444444444,59,50
ch.lambdaj.collection.LambdaGroup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7946428571428571,123,72
ch.lambdaj.collection.LambdaIterable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7542869269723804,283,192
ch.lambdaj.collection.LambdaIterator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,58,53
ch.lambdaj.collection.LambdaList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8638425586510264,223,176
ch.lambdaj.collection.LambdaMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.753160791910792,271,183
ch.lambdaj.collection.LambdaSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,42,34
ch.lambdaj.function.aggregate.Avg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6013361665587714,163,61
ch.lambdaj.function.aggregate.Chooser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,33,29
ch.lambdaj.function.aggregate.ChooserOnArgument,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20625,49,3
ch.lambdaj.function.aggregate.Concat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5298295454545454,73,20
ch.lambdaj.collection.AbstractLambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8067239365033482,273,210
ch.lambdaj.collection.LambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8648594490502807,261,211
ch.lambdaj.collection.LambdaCollections,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9288194444444444,60,51
ch.lambdaj.collection.LambdaGroup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7767857142857143,123,72
ch.lambdaj.collection.AbstractLambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8089966637760755,268,206
ch.lambdaj.collection.LambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9002098885846119,261,218
ch.lambdaj.collection.AbstractLambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8067239365033482,267,204
ch.lambdaj.collection.LambdaCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8840623476010053,264,218
ch.lambdaj.collection.LambdaCollections,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9288194444444444,59,50
ch.lambdaj.collection.LambdaGroup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7767857142857143,123,72
ch.lambdaj.collection.LambdaIterable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7563702603057137,277,187
ch.lambdaj.collection.LambdaIterator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9057539682539683,57,48
ch.lambdaj.collection.LambdaList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8586342253176931,225,176
ch.lambdaj.collection.LambdaMap,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6502005370755372,269,156
ch.lambdaj.collection.LambdaSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,42,34
ch.lambdaj.function.aggregate.Avg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6013361665587714,163,61
ch.lambdaj.function.aggregate.Chooser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,33,29
ch.lambdaj.function.aggregate.ChooserOnArgument,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20625,49,3
ch.lambdaj.util.NotUniqueItemException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
ch.lambdaj.util.NotUniqueItemException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
org.assertj.core.api.AbstractArrayAssert,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,4,4
org.apache.jcp.xml.dsig.internal.DigesterOutputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.725540577925323,153,96
org.apache.jcp.xml.dsig.internal.dom.AbstractDOMSignatureMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7683070595381118,163,122
org.apache.jcp.xml.dsig.internal.dom.ApacheNodeSetData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6074178819681069,134,54
org.apache.jcp.xml.dsig.internal.dom.ApacheOctetStreamData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9523809523809523,34,26
org.apache.jcp.xml.dsig.internal.dom.BaseStructure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,26,25
org.apache.jcp.xml.dsig.internal.dom.DOMCanonicalizationMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18157894736842106,293,8
org.apache.jcp.xml.dsig.internal.dom.DOMDigestMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7203048331125581,687,424
org.apache.jcp.xml.dsig.internal.dom.DOMHMACSignatureMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7344910117230876,471,326
org.apache.jcp.xml.dsig.internal.dom.DOMKeyInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7436013518220967,328,235
org.apache.jcp.xml.dsig.internal.dom.DOMKeyInfoFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7091757927427264,263,176
org.apache.jcp.xml.dsig.internal.dom.DOMKeyName,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9608134920634921,81,77
org.apache.jcp.xml.dsig.internal.dom.DOMKeyValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.41529690969472427,1121,177
org.apache.jcp.xml.dsig.internal.dom.DOMManifest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6961232235369064,243,162
org.apache.jcp.xml.dsig.internal.dom.DOMPGPData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.880798405275571,346,308
org.apache.jcp.xml.dsig.internal.dom.DOMReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5999070316497702,1037,427
org.apache.jcp.xml.dsig.internal.dom.DOMRetrievalMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6710413906850796,449,260
org.apache.jcp.xml.dsig.internal.dom.DOMSignatureMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.629083774605853,1162,656
org.apache.jcp.xml.dsig.internal.dom.DOMSignatureProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.32650621118012424,231,63
org.apache.jcp.xml.dsig.internal.dom.DOMSignatureProperty,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8097427784927784,344,279
org.apache.jcp.xml.dsig.internal.dom.DOMSignedInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20111157499217203,413,21
org.apache.jcp.xml.dsig.internal.dom.DOMStructure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,6,5
org.apache.jcp.xml.dsig.internal.dom.DOMSubTreeData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7787823083778966,256,167
